,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
223,9/5/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Employee,Venomous Animals,By participating in the general DDS held in the outside area of â€‹â€‹the central locker room the employee was bitten by a bee.
320,1/24/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"On 01/24/2017, at 12:25 a.m., during the activity of collecting soil, the collaborator Milton ran into a branch and was attacked by maribondos. He was bitten twice in the head. No pain, swelling and no allergic symptoms continued with their activities."
343,2/15/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"On 02/15/2017 at 3:27 pm, when performing the Magnetometric using GPS, the collaborator AntÃ´nio bumped the top of the field hat on a branch and was attacked by maribondos. He was bitten behind the ear and another on the shoulder, but he continued his activity because he felt no pain or swelling."
349,2/23/2017 0:00,Country_02,Local_07,Mining,I,III,Male,Third Party (Remote),Venomous Animals,"During the transport of pieces of wood with the aid of a wheelbarrow, the employee felt a prick in the right leg, at that moment stopped the activity, removed the leggings and when shaking the pants noticed that it was a small scorpion."
352,2/25/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"On 02/25/2017 at 13:05 p.m., when assisting with GPS in the Magnetometric collaborator GilvÃ¢nio bumped the top of the field hat on a branch and was attacked by maribondos. The moths went towards his eyes, but due to the use of sunglasses, the attack in that region was prevented. The insects moved to the side of the face, getting caught between the ear and the back of the field hat, making the helper get two bites behind the ear. GilvÃ¢nio is allergic to Marimbondos bites, soon the activity was immediately paralyzed, we drove to the car, where the accident took his medicine (antiallergic already used in other situations out of work, indicated by another doctor) to avoid further swelling. Marcelo responsible for the project was also on the field in the mapping activity, was called on the radio immediately. The assistant felt good, but was taken to the emergency of the Hospital of Lavras do Sul, where he consulted the doctor, took antiallergic and was released around 15:20."
358,3/2/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"On 02/03/17 during the soil sampling in the region of Sta. the employees Rafael and Danillo da Silva were attacked by a bee test. They rushed away from the place, but the employee Rafael took 4 bites, one on the chin, one on the chest, one on the neck and one on the hand over the glove. The employee took 4 bites, one in his hand over his glove and the other in the head, and the employee Danillo took 2 bites in the left arm over his uniform. At first no one sketched allergy, just swelling at the sting site. The activity was stopped to evaluate the site, after verifying that the test had remained in the line, they left the site."
359,3/2/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"On 02/03/17 during the soil sampling in the region of Sta. the employees Rafael and Danillo da Silva were attacked by a bee test. They rushed away from the place, but the employee Rafael took 4 bites, one on the chin, one on the chest, one on the neck and one on the hand over the glove. The employee took 4 bites, one in his hand over his glove and the other in the head, and the employee Danillo took 2 bites in the left arm over his uniform. At first no one sketched allergy, just swelling at the sting site. The activity was stopped to evaluate the site, after verifying that the test had remained in the line, they left the site."
360,3/2/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"On 02/03/17 during the soil sampling in the region of Sta. the employees Rafael and Danillo da Silva were attacked by a bee test. They rushed away from the place, but the employee Rafael took 4 bites, one on the chin, one on the chest, one on the neck and one on the hand over the glove. The employee took 4 bites, one in his hand over his glove and the other in the head, and the employee Danillo took 2 bites in the left arm over his uniform. At first no one sketched allergy, just swelling at the sting site. The activity was stopped to evaluate the site, after verifying that the test had remained in the line, they left the site."
368,3/15/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"Team of the VMS Project performed soil collection on the XixÃ¡s target with 3 members. When the teams were moving from one collection point to another, Mr. Fabio was ahead of the team, stinging behind Robson and Manoel da Silva. near the collection point were surprised by a swarm of bees that was inside a I play near the ground, with no visibility in the woods and no hissing noise. Fabio passed by the stump, but Robson and Manoel da Silva were attacked by the bees. Robson had a sting in his left arm over his uniform and Manoel da Silva had a prick in his lip as his screen ripped as he tangled in the branches during the escape."
369,3/15/2017 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals,"Team of the VMS Project performed soil collection on the XixÃ¡s target with 3 members. When the teams were moving from one collection point to another, Mr. Fabio was ahead of the team, stinging behind Robson and Manoel da Silva. near the collection point were surprised by a swarm of bees that was inside a I play near the ground, with no visibility in the woods and no hissing noise. Fabio passed by the stump, but Robson and Manoel da Silva were attacked by the bees. Robson had a sting in his left arm over his uniform and Manoel da Silva had a prick in his lip as his screen ripped as he tangled in the branches during the escape."
